title,seller,property_type,address,price,bedrooms,bathrooms,built_area,land_area,description,publication_date
"HERMOSA CASA EN EL FRACCIONAMIENTO SAN JOSE LA NORIA,Nuroa",Nuroa,Casa,"Fracc San José de la Noria, Oaxaca, Oaxaca",9380000,4,3,127,168,"Gran oportunidad de adquirir un inmueble remodelado en una zona segura, tranquila y de alta plusvalía.Casa en dos niveles, ofrece cochera para 2 autos, portones automáticos, recibidor, estudio, bodega de servicio, medio baño para visitas, sala, comedor, cocina con cocina integral, área de servicio y escaleras de caracol para el área de lavado, jardín interior, escaleras para la planta alta donde encontraremos 4 recámaras, la principal y secundaria con baño propio cada una, dos recámaras junior con el tercer baño completo a su servicio y una sala de de tv.La casa tiene una cisterna de 10 mil litros, 3 tinacos y gas estacionario. ESTA LIBRE DE GRAVAMEN.Se muestra previa cita.",3 ago 2023 - Publicado por Edith Miguel
"VENTA DE HERMOSAS CASAS LOFT NUEVAS EN 7 REGIONES OAXACA,Nuroa",Nuroa,Casa,"7 Regiones, Oaxaca, Oaxaca",2650000,2,1,60,100,"Casa loft en venta en la Colonia 7 Regiones consta de Planta baja y dos niveles.Concepo de diseño Loft industrial.Vivienda contemporánea.Terreno 60m2, construcción 100m2Propiedad de carácter definitivo en condominio.PRECIO VENTA💲2'650,000.00✅Incluye lo siguiente:✅Planta baja techada para estacionamiento de 2 autos y un  jardín lateral a todo lo largo.💯La planta baja también puede ser usada como oficina o local comercial, porque está techada.📌El primer nivel es un espacio abierto integrando sala-comedor-cocina también incluye un medio baño y lavandería.📌En el Segundo nivel tenemos 2 habitaciones y 1 baño completo, con mamparas en regadera de cristal templado. Cada habitación tiene clóset y amplio ventanal.📌La vivienda incluye escalera interior para acceso a la azotea, cómo continuación de escalera interior, cubierta con un domo móvil, que permite amplia iluminación.📌La azotea podrá ser usada como terraza al aire libre con barandal. Usted podrá decorarla al gusto.✅La casa incluye calentador de 40lts, tanque de gas estacionario, cisterna 10 mil lts y sistema hidroneumático para el servicio de baños y cocina.📌La iluminación general de la casa incluye lámparas en estilo vintage, arbotantes discretos color negro y tiras de iluminación leds. Con la intención de crear un ambiente relajado y confortable.📌Acabados en puertas y pisos en madera natural, muros de durock con recubrimieto de tabique rojo aparente y estructura general de la vivienda con columnas y vigas de acero en color natural y muros de concreto armado.Se muestran previa cita. Precio sujeto a cambio sin previo aviso.",3 ago 2023 - Publicado por Edith Miguel
"SE VENDE CASA DE UN NIVEL EN COLONIA VISTA HERMOSA,Nuroa",Nuroa,Casa,"Vista Hermosa, Oaxaca, Oaxaca",1399000,4,2,177,,"🏡SE VENDE CASA EN COLONIA VISTA HERMOSA 🏡Col. del Maestro 🔹TERRENO 179 m2Características:🔹Casa de un nivel🔰Techo de material▪️Cochera techada para 1 auto ▪️2 cuartos ▪️1 Baños🔰Techo de lámina ▪️Sala▪️Comedor▪️Cocina ▪️1 baño▪️2 cuartos 🔰Patio🔰Jardinera🔰Escaleras de material para acceder a la azotea🔰Cuenta con todos los servicios🔰Cerca de escuelas y la universidad el Golfo$1,399,000♦️Pagó de contado","Hace 2 semanas, 6 días - Publicado por Bienes Raíces Oaxaca"
"Casa en Remate Hipotecario,Nuroa",Nuroa,Casa,"Barrio La Noria, Oaxaca, Oaxaca",2890736,4,3,,,"BEGH46225586-JRACG¡¡¡¡¡¡¡Gran oportunidad!!!!!!Gutza Bienes Raíces es la empresa No.1 en Remates Bancarios del país. EVITA RIESGOS, ACÉRCATE CON LOS PROFESIONALES. Guía para comprar remates bancarios:Que los pagos que realices sean facturados (honorarios, cesión, gastos) y la cuenta bancaria a la que los hagas sean a la empresa que te realiza el contrato.Que en el contrato se comprometan a la entrega del inmueble no solo a una cesión de derechos  o a un a “devolución” (no hay certeza).Que tengas acceso a la documentación legal del proceso o del inmueble.Que te muestren los contratos (vigentes) con los bancos que trabajan.Que las oficinas no sean en casas o en oficinas ( en edificios donde hay múltiples empresas, que rentan despachos por mes, incluso amuebladas) al ser un negocio a largo plazo   no tienes certidumbre que en dos años seguirán ahí. Todas estas garantías te ñas ofrecemos en Gutza, evita problemas, acércate con los profesionales.TODAS ESTAS GARANTÍAS TE OFRECEMOS EN GUTZA BIENE RAICES , EVITA FRAUDES.La información publicada en este material tiene carácter informativo, por lo que la misma deberá de ser convalidada directamente por Gutza Bienes Raíces. Intermediación inmobiliaria Gutza, SA de CV. SE LIBERA A Gutza Bienes Raíces , intermediación inmobiliaria Gutza S.A. DE C.V. , a sus empleados, directivos y accionistas, filiales y empresas de cualquier responsabilidad que pudiera generarse por la falta de convalidación de la información, renunciado a cualquier  reclamación relacionada con lo anterior.","Hace 2 semanas, 5 días - Publicado por Gutza Bienes Raices"
"SE VENDE INMUEBLE  IDEAL PARA NEGOCIO Y VIVIENDA,Nuroa",Nuroa,Casa,"Montoya, Oaxaca, Oaxaca",2350000,6,2,220,139,"Una Gran oportunidad para invertir y ubicar tu propio negocio, esta propiedad está  a 3 cuadras de PLAZA BELLA en el Fraccionamiento Montoya.Enfrente hay un parque y alrededor varios negocios de diferentes giros comerciales.PLANTA BAJA:CocinaSalaComedor2 RecamarasLocal comercial Cochera para un vehículo Baño completoPatio de servicioCisterna 7500 Lts.Pasillo lateral de servicioPLANTA ALTA:4 recamaras Un baño completo 1/2 Baño Entrada independiente Corredor amplioCalentador solar en azotea Adquiere el hogar que estás buscando, agenda tu visita al,. EasyBroker ID: EB-NV6065","Hace 2 semanas, 5 días - Publicado por Hgrie grupo inmobiliario"
"SE VENDE CASA EN FRACCIONAMIENTO LA JOYA,Nuroa",Nuroa,Casa en Fraccionamiento,"Lázaro Cárdenas 1ra Secc, Oaxaca, Oaxaca",1299000,3,1,80,80,"ESTA BONITA CASA CUENTA CON LO SIGUIENTE  3 recámaras  2 Baños  Patio de servicio  cisterna de 5mil litros  Cajón de estacionamiento  Sala - Comedor  Cocina $1,299,000Dentro de fraccionamiento","Hace 2 semanas, 5 días - Publicado por Bienes Raíces Oaxaca"
"BONITA CASA EN EL CENTRO DE OXACA,Nuroa",Nuroa,Casa,"Barrio El Peñasco, Oaxaca, Oaxaca",1481000,3,3,300,300,"REMATE BANCARIO ENTREGA GARANTIZADA EN14 MESESADJUDICADO A PRECIO DE LITIGIOAVALUO DE $3,003,000. Dobla tu inversión en menos de un año!!!!!Ofrecemos los elementos y la experiencia necesaria para una óptima asesoría, ya que la viabilidad del inmueble es previamente revisada y seleccionada por nuestra área jurídica.NO se aceptan creditos, SOLO PAGO DE CONTADOEscrituramos y entregamos posesion garantizado ante Notario Publico!!!!Contactame para mayor informacion Jenifer","Hace 2 semanas, 2 días - Publicado por Grupo Inversionista México"
"EN VENTA CASA 4 RECAMARAS LOMAS DEL CRESTON CERCA ISSSTE OAXACA,Nuroa",Nuroa,Casa,"Lomas del Creston, Oaxaca, Oaxaca",8900000,4,4,463,200,"HERMOSA RESIDENCIA UBICADA EN ZONA DE GRAN PLUSVALIAUBICADA EN LOMAS DEL CRESTON.CARACTERISTICAS:COCHERA PARA 2 AUTOSPORTON AUTOMATICO.PATIO C/CISTERNA 9MIL LTS.BARDAS ELECTRIFICADASVIDEO PORTEROPRIMER NIVEL: ESTANCIA ILUMINADA CON LAMPARAS LEDS, BALCON CON VISTA AGRADABLEAMPLIO COMEDOR CON MUY BUENA ILUMINACION, PISOS ESTILO AMADERADO, VENTANALES AMPLIOS Y BALCONCOCINA EQUIPADA CON ALACENAS, ISLA CON PARRILLA Y CAMPANA COLGANTE(Video portero)BONITA Y AMPLIA TERRAZAMEDIO BAÑOSUBNIVEL:2 RECAMARAS AMPLIAS CON CLOSETS, CON PATIO TERRAZA Y JARDINERASBAÑO COMPLETO EN CADA RECAMARATERCER NIVEL:1 RECAMARA PRINCIPAL CON AMPLIO VESTIDOR.VENTANALES AMPLIOS, BALCON.1 BAÑO COMPLETO.1 RECAMARA CON CLOSET Y BALCON CON AGRADABLE VISTA.1 BAÑO COMPLETO.1 AREA DE LAVADO CON BAÑO COMPLETO.1 PATIO PARA TENDIDOCUARTO NIVEL:2 ROOF GARDEN CON AGRADABLE VISTA PANORAMICASUPERFICIE TERRENO: NORTE: 24.20, SUR: 23.71, ESTE: 9MTS, AL ORIENTE: 7 MTS2CONSTRUCCION: 463.52 MTS2Cercano a centros comerciales, bancos, colegios, hospitales, transportes.","Hace 2 semanas, 6 días - Publicado por Inmuebles Oaxaca"
"OPORTUNIDAD GRAN CASA A SUPER PRECIO EN OAXACA,Nuroa",Nuroa,Casa,"Educación, Oaxaca, Oaxaca",975000,4,5,280,280,"REMATE BANCARIO EN EDUCACION OAXACAExcelente oportunidad de inversión, muy debajo de su precio comercial.Ofrecemos los elementos y la experiencia necesaria para una óptima asesoría, ya que la viabilidad del inmueble es previamente revisada y seleccionada por nuestra área jurídica.NO se aceptan creditos, SOLO PAGO DE CONTADOEscrituramos y entregamos posesion garantizado ante Notario Publico!!!!Contactame para mayor informacion Jenifer","Hace 2 semanas, 2 días - Publicado por Grupo Inversionista México"
"HERMOSA CASA DE UN PISO CERCA DEL CENTRO DE OAXACA,Nuroa",Nuroa,Casa,"Fraccionamiento Jacarandas, Oaxaca, Oaxaca",1158000,3,4,220,220,"REMATE BANCARIO EN EDUCACION OAXACAExcelente oportunidad de inversión, muy debajo de su precio comercial.Ofrecemos los elementos y la experiencia necesaria para una óptima asesoría, ya que la viabilidad del inmueble es previamente revisada y seleccionada por nuestra área jurídica.NO se aceptan creditos, SOLO PAGO DE CONTADOEscrituramos y entregamos posesion garantizado ante Notario Publico!!!!Contactame para mayor informacion Jenifer","Hace 2 semanas, 2 días - Publicado por Grupo Inversionista México"
