title,seller,property_type,address,price,bedrooms,bathrooms,built_area,land_area,description,zip_code,parking
"EGE, BONITA CASA EN RECUPERACION HIPOTECARIA EN OAXACA CENTRO! SOLO CONTADO.",Mitula,Casa,"manuel sabino crespo, oaxaca de juarez, oaxaca, mexico",1680173,3.0,2.0,180.0,180.0,"CASA EN VENTA: MANUEL SABINO CRESPO, CENTRO,OAXACA, OAXACA. Precio: $ 1,680,173.00 **Gran oportunidad de adquirir Casa .** Solo Pago de Contado. **Precio sujeto a cambio sin previo aviso** Para Mayor Informes Contáctanos: Lic. Estrada Cel:,Whatsapp: Quienes Somos:",68045.0,
HERMOSA CASA A UNOS MINUTOS DEL CENTRO DE OAXACA,Mitula,Casa,"macedonio alcala 134, agencia de policia guadalupe victoria sector 6, oaxaca de juarez, oaxaca, mexico",1239000,4.0,3.0,380.0,220.0,"CASA CON EXCELENTE DISEÑO, RODEADA DE TODOS LOS SERVICIOS. CERCANA A ESCUELAS Y EN UNA BUENA ZONA.",68276.0,
HERMOSA CASA EN OAXACA,Mitula,Casa,"huerto los framboyanes 102, universidad, trinidad de las huertas, 68120 oaxaca de juarez, oax., mexico",899000,3.0,2.0,127.0,180.0,"UNA DE LAS CASAS MEJOR UBICADAS, A TAN SOLO UNOS MINUTOS DEL CENTRO DE LA CIUDAD, RODEADA DE TODOS LOS SERVICIOS COMO HOSPITALES, CENTROS COMERCIALES (PLAZA OAXACA), A UNAS CALLES DE LA UNIVERSIDAD AUTONOMA BENITO JUAREZ DE OAXACA.",68080.0,
VENTA DE CASA EN OAXACA,Mitula,Casa,"xicotencatl, zona feb 10 2015, barrio de la noria, oaxaca de juarez, oaxaca, mexico",790000,3.0,2.0,250.0,113.0,"MAGNIFICA OPORTUNIDAD DE ADQUIRIR BONITA CASA CON EXCELENTE PLUSVALIA. LA DISTRIBUCION ES SALA, COMEDOR, COCINA, CUARTO DE LAVADO, 3 RECAMARAS, 2.5 BAÑOS, 1 LUGAR DE ESTACIONAMIENTO Y AMPLIO JARDIN PRIVADO. EXCELENTES VIAS DE ACCESO PERIFERICO, EDUARDO MATA, HOTELES, CENTROS COMERCIALES, CERCANA A SUPERMERCADOS, ZONA DE BANCOS, PARQUES, ESCUELAS, FARMACIAS, TIENDAS, ETC.",68276.0,1.0
CASA E OAXACA,Mitula,Casa,"huerto los framboyanes 102, universidad, trinidad de las huertas, oaxaca de juarez, oaxaca, mexico",899000,3.0,2.0,180.0,180.0,"¡¡Gran Venta Especial!!Obtén tu nuevo patrimonio familiar con una ubicación privilegiada, rodeada por las principales vías de comunicación, medios de transporte, mercados, centros comerciales, escuelas, bancos, hospitales, zonas de recreación y localidades de importancia como: Hospital Diana, Gimnasio Universitario.También Avenidas conocidas como: Av. Oaxaca, Av. Universidad.   •Solo Capital Propio•Agenda tu cita y conoce más detalles de TU NUEVA CASA",68080.0,
VENTA DE CASA EN OAXACA,Mitula,Casa,"argentina, america sur, oaxaca de juarez, oaxaca, mexico",715000,3.0,3.0,415.0,264.0,"UNICA OPORTUNIDAD DE ADQUIRIR BONITA CASA CON EXCELENTE UBICACIÓN DENTRO DE COLONIA AMERICA SUR, CUENTA CON VIAS PRINCIALES, UBICADO CERCA DE PARQUES, PLAZAS COMERCIALES, ESCUELAS, BANCOS Y FARMACIAS. EL INMUEBLE CUENTA CON UNA ESTANCIA COMODA, COCINA INTEGRAL, 3 RECAMARAS, 3.5 BAÑOS,2 LUGARES DE ESTACIONAMIENTO Y ESTUDIO.""""""NO SE ACEPTAN CREDITOS""""""MAYOR INFORMACIÓN CON MONTSERRAT CELIS :",68104.0,1.0
CASA EN VENTA MACEDONIO ALCALA GUADALUPE VICTORIA OAXACA DE JUAREZ,Mitula,Casa,"macedonio alcala, agencia de policia guadalupe victoria sector 6, oaxaca de juarez, oaxaca, mexico",510000,4.0,3.0,387.0,221.0,"ESTA ES LA OPORTUNIDAD PARA REALIDAD TU SUEÑO DE TENER UNA CASA PROPIA, INVIERTE EN UNA PROPIEDAD A UN EXCELENTE PRECIO MUY POR DE BAJO DE SU VALOR COMERCIAL, UBICADA EN UNA ZONA EXCLUSIVA DEL ESTADO DE OAXACA, ACCESO POR AVENIDAS PRINCIPALES, RODEADA DE ESCUELAS, TIENDAS, UNA ZONA MUY TRANQUILA PARA VIVIR, SU DISTRIBUCION ES DE : 4 AMPLIAS RECAMARAS, ESTUDIO, SALA ,COCINA, 3.5 BAÑOS, AMPLIO ESPACIO PARA TENER A TUS MASCOTAS, 2 LUGARES DE ESTACIONAMIENTO, INVERSION TOTALMENTE SEGURA, ENTREGA GARANTIZADA",68276.0,1.0
CASA EN VENTA EN MACEDONIO ALCALA COL AGENCIA DE POLICIA GUADALUPE VICTORIA OAXACA DE JUAREZ,Mitula,Casa,"macedonio alcala, agencia de policia guadalupe victoria sector 6, oaxaca de juarez, oaxaca, mexico",510000,4.0,3.0,387.0,221.0,"ESTA ES LA OPORTUNIDAD PARA REALIDAD TU SUEÑO DE TENER UNA CASA PROPIA, INVIERTE EN UNA PROPIEDAD A UN EXCELENTE PRECIO, UBICADA EN UNA ZONA EXCLUSIVA DEL ESTADO DE OAXACA, ACCESO POR AVENIDAS PRINCIPALES, RODEADA DE ESCUELAS, TIENDAS, UNA ZONA MUY TRANQUILA PARA VIVIR, SU DISTRIBUCION ES DE : 4 AMPLIAS RECAMARAS, ESTUDIO, SALA ,COCINA, 3.5 BAÑOS, AMPLIO ESPACIO PARA TENER A TUS MASCOTAS, 2 LUGARES DE ESTACIONAMIENTO, INVERSION TOTALMENTE SEGURA,",68276.0,1.0
VENTA DE CASA EN XIPETOTEC COL VILLA DE MONTE ALBAN OAXACA OAXACA,Mitula,Casa,"xipetotec 49, villas de monte alban, oaxaca de juarez, oaxaca, mexico",568000,2.0,1.0,94.0,60.0,"EXCELENTE OPORTUNIDAD DE ADQUIRIR HERMOSA CASA LA DISTRIBUCIÓN ES: SALA, COMEDORCOCINA2 RECAMARAS AMPLIAS1 BAÑO CUARTO DE LAVADO. COSTO TOTAL DE LA PROPIEDAD: 568.000 MIL PESOSEXCELENTE UBICACIÓNCERCA DE: CENTROS COMERCIALES, UNIVERSIDADES, ESCUELAS, HOSPITALES, CLINICAS, CAFETERIAS, TIENDAS DE AUTO SERVICIO, BANCOS Y PARQUES",68154.0,
VENTA DE CASA COLONIA AGENCIA DE POLICIAS GUADALUPE VICTORIA OAXACA OX,Mitula,Casa,"macedonio alcala, agencia de policia guadalupe victoria sector 6, oaxaca de juarez, oaxaca, mexico",510000,4.0,3.0,350.0,200.0,"EXCELENTE OPORTUNIDAD DE HACER CRECER TU PATRIMONIO, TENGO A LA VENTA UNA MARAVILLOSA CASA. CON UNA UBICACION ESPECTACULAR, EN UNA DE LAS ZONAS CON MAYOR VALOR COMERCIAL EN LOS BIENES RAICES, EN LA COLONIA GUADALUPE VICTORIA. OAXACA DE JUAREZ OAXACA, CUENTA EN SUS ALREDEDORES CON PLAZAS COMERCIALES DE 1RA CATEGORIA, ESCUELAS EN TODOS LOS NIVELES EDUCATIVOS, CENTROS DE RECREACION FAMILIAR, PARQUES Y AREAS NATURALES PARA LOS NIÑOS, HOSPITALES Y CENTROS MEDICOS. ADEMAS ACCESO A LA CASA POR LAS PRINCIPALES AVENIDAS DE LA CIUDAD Y LO MAS IMPORTANTE POR SU CERCANIA CON EL CENTRO DE LA CIUDAD REPRESENTA UNA EXCELENTE INVERSION. EL INMUEBLE CUENTA CON 4 RECAMARAS, COCINA, SALA, COMEDOR, ESTUDIO, 3 BAÑOS Y ESTACIONAMIENTO PARA 2 CARROS, ADEMAS ESPACIO PARA SUS MASCOTAS. ES UNA INVERSION SEGURA Y GARANTIZADA BAJO CONTRATO. NOTA: NO SE ACEPTAN CREDITOS. PARA MAYOR INFORMACION COMUNIQUESE CON SU ASESOR INMOBILIARIO.",68276.0,3.0
