title,seller,property_type,address,price,bedrooms,bathrooms,built_area,land_area,description,publication_date,zip_code,parking
CASA EN VENTA  - (3),lamudi,Casa,san martin mexicapan,1800000,4.0,2.0,300.0,200.0,"CASA EN VENTA, UBICADA EN CALLE NOCHE BUENA NUMERO 104 COL. AZUCENAS, SAN MARTIN MEXICAPAM. OAXACA DE JUAREZ, LA PROPIEDAD ESTA DIVIDIDA EN DOS PLANTAS CUENTA CON 2 RECAMARAS EN LA PLANTA DE ARRIBA Y DOS RECAMARAS EN LA PLANTA BAJA CADA PLANTA CON SU RESPECTIVO BAÑO, COCINA, PATIO.  CUENTA CON TODOS LOS SERVICIOS AGUA POTABLE, LUZ Y DRENAJE.  (3)","Hace 4 días, 16 horas - Publicado por REMAX cantera",68140.0,
CASA EN EL CENTRO DE OAXACA - (3),lamudi,Casa,estrella,35000000,10.0,4.0,583.0,395.0,"PRECIOSA CASA EN EL CENTRO DE OAXACA EN PERFECTAS CONDICIONES, CON MUCHA HISTORIA, DONDE VIVIO EL GENERAL GARCIA VIGIL (3)",24 abr 2023 - Publicado por REMAX cantera,68045.0,
CASA EN VENTA EN LA COLONIA REFORMA - (3),lamudi,Casa,reforma,8900000,5.0,4.0,378.0,270.0,"Magnifica oportunidad de inversión, en unos de los sectores más cotizados de la ciudad de Oaxaca, casa en venta con uso de suelo Mixto, cuenta con avalúo,  planos estructurales, planos arquitectónicos, y dictamen de seguridad estructural con conclusión de que NO PRESENTA DAÑOS. (3)",10 mar 2023 - Publicado por REMAX cantera,68050.0,
Se vende casa en Fraccionamiento. - (3),lamudi,Casa en Condominio, villas montealban,1290000,3.0,2.0,61.0,94.0,"Esta casa cuenta con estacionamiento privado hasta 2 vehículos.En planta baja se encuentra la sala comedor, cocina con barra desayunador, 2 recamaras una de ellas podría adecuarse a estudio, baño completo y área de servicio.En la segunda planta, recamara  y baño completo. (3)",4 ago 2023 - Publicado por REMAX cantera,68143.0,2.0
Casa en Obra Negra - (3),lamudi,Casa,lazaro cardenas 1a secc,2975000,4.0,4.0,600.0,240.0,"Casa en Obra Negra en Venta.  Con 600 metros de construcción y 240 metros de terreno. La propiedad se vende tal cual se muestran las fotos, para elegir los acabados y distribución que desees en tu nueva casa. El proyecto está conformado de la siguiente manera.  Planta baja: cochera, sala comedor, cocina,  1/2 baño y cisterna.Planta  alta: 4  habitaciones, 4 baños y una sala de estar.Rooftop: Terraza de descanso, convivencia y cuarto de servicio.Propiedad Ejidal. (3)",10 jun 2023 - Publicado por REMAX cantera,68140.0,1.0
CASA EN EL EX-MARQUESADO SOBRE AV. PRINCIPAL - (3),lamudi,Casa,oaxaca centro,12500000,7.0,5.0,340.0,418.0,"Hermosa casa catalogada estilo colonial en el barrio del Exmarquesado, la propiedad cuenta con patio central, 3 recamaras, 3 baños, cocina, comedor y área de servicios, con dos amplios locales comerciales (40m2 y 20m2) y dos departamentos con entrada independiente de 2 recamaras cada uno, ideal para diferentes giros de inversión, ubicada en Avenida importante que le otorga gran conectividad con la ciudad y el centro histórico de Oaxaca. (3)",1 abr 2023 - Publicado por REMAX cantera,68000.0,
ATENCION INVERSIONISTAS - (3),lamudi,Casa,benito juarez,13000000,1.0,1.0,890.0,1225.0,"Atención inversionistasRemax Cantera propone casa en venta, la cual se encuentra en una excelente ubicación, a media cuadra de la Carretera Internacional, en Pueblo Nuevo Oaxaca, cerca del crucero comercial de Viguera, rodeada de centros comerciales: farmacias del ahorro, Coppel, Miniabastos, escuelas, plantel educativo COBAO. A 20 minutos de la ciudad de Oaxaca, en automóvil.Esta propiedad se compone de un edificio de dos niveles utilizado para casa habitación, y otro edificio con habitaciones con baño para renta.Casa principal, cuenta con: sala, comedor, dos cocinas, una de ellas es cocina tradicional y la otra cuenta con cocina integral en renovación, 10 recámaras, la recamara principal cuenta con baño incluido, y las otras 9 recámaras comparten 4 baños.Recámaras y departamento para renta:  cuenta con 10 recámaras con baño integrado, 4 recamaras con baño compartido. Además, cuenta con un departamento de 2 recámaras, sala, comedor, cocina, 1 baño y patio de servicio. Cuenta con un salón de eventos especiales, con todos los servicios. Área arbolada y gran jardín, excelente para hotel, restaurante, oficinas.Cuenta con todos los servicios: agua potable, cisterna, energía eléctrica, drenaje. Calles pavimentadas.Régimen ejidal. (3)",31 jul 2023 - Publicado por REMAX cantera,68030.0,
CASA EN VENTA DE 3 RECAMARAS CON ESTUDIO EN LA LOMA,lamudi,Casa en Fraccionamiento, la loma ampliacion,6500000,3.0,4.0,230.0,240.0,"Casa en venta en Fraccionamiento Privado con vigilancia las 24 horas con estricta vigilancia zona segura y tranquila, cerca de la Colonia Reforma, San Felipe y a escasos minutos al centro y Xochimilco, acceso rápido a comercios como escuelas, bancos, plazas, mercados, hospitales, etc.Se encuentra en calle privada.Una de las mejores zonas para vivir, el Fraccionamiento tiene jardines privados.Apta para remodelación al gusto del comprador.Superficie de terreno: 240 m2Superficie de construcción: 230 m2PROPIEDAD PUBLICA CON CARÁCTER DEFINITIVO.PLANTA BAJA:. Cochera para 2 autos, portón eléctrico, con jardineras.. Sala.. Comedor.. Cocina integral con estufa.. Un medio baño de visitas. (se puede convertir en baño completo). Alacena.. Estudio u oficina.. Jardín amplio trasero.. Cuarto de servicio.. Baño completo.. Patio de servicio (Lavadero, instalación para lavadora)SEGUNDO NIVEL:. Hall.. Un baño completo.. Tres Recamaras con closets cada una. (La principal con baño completo)AMENIDADES.. Cisterna de 3,500 litros. (se puede ampliar la cisterna).. Gas estacionario.PRECIO DE RENTA: $6,500,000.00Previa cita:""INMOBILIARIA ZAGAO""Calle Boulevard de La Paz 102Colinas de La Soledad, Oaxaca.MARIA ZARATE OROZCO  GONZALO GALVAN FLORES",20 abr 2023 - Publicado por Inmobiliaria Zagao,68045.0,2.0
PROPIEDAD CON 6 DEPARTAMENTOS Y CASA - (3),lamudi,Casa,reforma,30000000,10.0,10.0,760.0,839.0,"PROPIEDAD MUY BIEN UBICADA CON 6 DEPARTAMENTOS Y CASA, IDEAL PARA INVERSIONISTAS PREDIO CONSTRUIDO EN CUATRO BLOQUES, 1.-) UN EDIFICIO DE TRES NIVELES QUE TIENE EN PLANTA BAJA COCHERA Y LOS DOS NIVELES SUPERIORES UNOSDEPARTAMENTOS QUE CONSTAN DE UNA SALA, COMEDOR, COCINETA, UNA RECAMARA Y UN BAÑO COMPLETO, 2.-)CASA HABITACION EN UN SOLO NIVEL QUECONSTA DE ACCESO DE LA CALLE, RECIBIDOR, SALA FAMILIAR, COMEDOR, COCINA, PASILLO DISTRUBUIDOR, MEDIO BAÑO DE VISITAS, TRES RECAMARAS , UNBAÑO COMPLETO, RECAMARA PRINCIPAL CON BAÑO COMPLETO Y VESTIDOR, TERRAZA CUBIERTA Y AREAS DE JARDIN. 3.-) DEPARTAMENTOS DE UNA SOLARECAMARA CONSTRUIDOS EN DOS NIVELES CON ESTANCIA-COMEDOR,COCINA, ESCALERAS Y EN PLANTA ALTA UNA RECAMARA CON BAÑO COMPLETO. Y 4.-)DEPARTAMENTOS DE DOS RECAMARAS EN DOS NIVELES, Y CONSTAN EN PLANTA BAJA ESTANCIA, COMEDOR, COCINA, MEDIO BAÑO ESCALERAS Y EN PLANTAALTA DOS RECAMARAS CON AREAS DE CLOSETS Y UN BAÑO COMPLETO.ES UNA CONSTRUCCION DE TIPO TRADICIONAL, SE SUPONE CON CIMENTACIONES DE PIEDRA CANTERA Y CON ZAPATAS DE CONCRETO AISLADAS ARMADAS CONVARILLAS DE ACERO, MUROS DE LADRILLO ROJO RECOCIDO DE 14 CMS DE ESPESOR REPELLADOS Y PINTADOS, REFORZADOS CON CADENAS Y CASTILLOS DECONCRETO ARMADO, TECHOS DE LOSA DE CONCRETO ARMADO DE 12 CMS DE ESP. ARMADO CON VARILLAS DE 1/2"" y 3/8"" EN CLAROS LARGOS Y MEDIANOS,PISOS CON LOSETA VIDRIADA DE BUENA CALIDAD, ACABADO EN MUROS CON MEZCLA DE CEMENTO CAL ARENA CON ACABADO FINO Y YESO LISO, PINTADOSCON VINILICA, PLAFONES CON PINTURA VINILICA Y YESO LISO, PUERTAS DE INTERCOMUNICACION DE TAMBOR DE MADERA Y DE ANGULOS LIGEROS CONFORRO DE LAMINA, VENTANERIA DE ALUMINIO ANODIZADO, INSTALACIONES ELECTRICAS COMPLETAS Y OCULTAS POR PLAFON Y MUROS EN MANGERAPOLIDUCTO, INSTALACIONES SANITARIAS COMPLETAS Y OCULTAS, MUEBLES DE BAÑOS PORCELANIZADOS DE COLOR, REGISTROS REGLAMENTARIOS, AZOTEASCON EMULSION ASFALTICA Y TEJA, TINACOS DE TIPO ROTOPLAS, BARDAS COLINDANTES REPELLADAS CON MORTERO ACABADO RUSTICO Y PORTONES DEACCESO DE MADERA CON HERRAJES METALICO (3)",10 ago 2023 - Publicado por REMAX cantera,68050.0,1.0
Casa en Venta en la Colonia Volcanes - (3),lamudi,Casa,volcanes,7400000,6.0,4.0,350.0,366.0,"Propiedad en la colonia Volcanes, Oaxaca, cuenta con seis habitaciones, todas equipadas con clóset para mayor comodidad. Además, cuenta con cocina integral, una terraza para disfrutar al aire libre, un cuarto de televisión para momentos de entretenimiento y un práctico cuarto de lavado. Los cuatro baños completos aseguran que haya suficiente espacio para todos los residentes. Y para aquellos que poseen varios autos, el estacionamiento tiene capacidad para cinco vehículos, es una ventaja adicional. Una vivienda ideal para una familia numerosa o aquellos que buscan mucho espacio y comodidades en su hogar.Además de sus amplias comodidades, esta casa en la colonia Volcanes, Oaxaca, también representa una magnífica oportunidad para desarrolladores. Su terreno y ubicación estratégica son ideales para construir un edificio de departamentos habitacionales. Con la demanda de viviendas en la zona, este proyecto podría ofrecer una excelente inversión y proporcionar espacios modernos y funcionales para futuros residentes. Una propuesta atractiva para aquellos interesados en el desarrollo inmobiliario y maximizar el potencial de este valioso terreno.  (3)",1 jun 2023 - Publicado por REMAX cantera,68020.0,5.0
