title,seller,property_type,address,price,bedrooms,bathrooms,built_area,land_area,description,publication_date
CASA  EN REMATE ZONA XOXO-CUILAPAM Oaxaca,lamudi,Casa,"Fraccionamiento Los Ríos, Oaxaca, Oaxaca",1500000,4,3,160,200,"CASA CON AMPLIO TERRENO EN CUILAPAM OAX *EXCELENTE OPORTUNIDAD DE INVERSIÓN* Ubicada en los límites de santa Cruz xoxocotlan y CUILAPAM DE GUERRERO,  *sector cruz blanca Rancho Aguayo* , a solo 30 minutos del centro de la ciudad y a solo 5 min de la camara de diputados y de la universidad Anáhuac  *1,500,000 Sup terreno 200 m2 Descripción:Consta de dos construcciones en su interior: CASA HABITACIÓN PRINCIPALConstruida en dos niveles Planta baja (habitable)SalaComedor Cocina Recamara / Estudio Baño completo ( separado Wc y regadera) Patio de servicio * *Pisos con Acabados  en loseta , muros y techos aplanados en cemento , con excepción del baño este está en obra negra, cableado en toda esta planta.*  Planta alta ( *OBRA NEGRA)*   3 Recámaras Vestíbulo 1Baño completo  *BUNGALOW con terraza y 1 baño completo*  *( habitable)* Construido en un solo nível con Muros de ladrillo, aplanado fino y piso pulido, el baño cuenta con pisos en azulejo , calentador.El techo de este es base de galva teja. *CUENTA CON LUZ, DRENAJEPOZO DE AGUA ANILLADO CON BOMBA, TINACO DE 1,100 lts *PROPIEDAD, REGISTRO DEFINITIVO, LIBRE DE GRAVAMEN.* Acepta Pago en efectivo o crédito hipotecario el que aplique sino cuenta con uno le apoyamos en la asesoría y trámiteCITA PREVIAPaulina Jiménez,. EasyBroker ID: EB-MM1441",9 may 2023 - Publicado por PROISA INMOBILIARIA
Casa - Oaxaca Centro,lamudi,Casa,"La Soledad, Oaxaca, Oaxaca",6900000,7,2,561,,"En venta casa en Periférico, Oaxaca.Ubicada en una de las zonas con mayor plusvalía, adecuado para inversionistas ya que se encuentra a solo 5 minutos del Centro y 10 minutos de la Col. Reforma.Propiedad construida en 2 niveles: La planta baja cuenta con 3 locales comerciales con vista a la calle, ideales para renta de cualquier giro.La segunda planta cuenta con 1 recamara con baño amplio, 1 cuarto de costura, además tiene en construcción 3 espacios extras.",29 mar 2023 - Publicado por Altana Realty Group
Casa - San Andrés Huayápam,lamudi,Casa,"Manuel Ávila Camacho, Oaxaca, Oaxaca",8500000,4,5,333,,"Bonita casa residencial ubicada en un lugar que te brinda mucha tranquilidad, con vista panorámica de la ciudad endonde puedes observar la vegetación así como los cantos de las aves, cuenta con un área de asador, jardín y cercaelectrificada, se encuentra a tres cuadras de la carretera que te lleva al centro de Huayapam, pueblo pintoresco en dondese rigen por usos y costumbres, donde encontraras diferentes comercios como restaurantes, muy buenainversión para disfrutarla en familia.",29 mar 2023 - Publicado por Altana Realty Group
Casa - Santa María Atzompa,lamudi,Casa,"Estado de Oaxaca, Oaxaca, Oaxaca",4280000,3,3,180,,"Bonita casa nueva con habitaciones amplias que te brindaran la comodidad que tanto buscas, cuenta con unbonito jardínpara que disfrutes de las tardes en familia, estacionamiento para 4 vehículos, ubicada a tan solo 3 minutos dePlaza Bella, a dos cuadras de la Avenida principal, con afluencia vehicular de transporte publico, a unas cuadras deltecnológico, cerca del Centro Histórico, con diferentes salidas para desplazarse al centro.",29 mar 2023 - Publicado por Altana Realty Group
PROPIEDAD  IDEAL PARA OFICINAS O NEGOCIO,lamudi,Casa,"Santa Rosa Panzacola, Oaxaca, Oaxaca",2950000,,,,200,"PROPIEDAD IDEAL PARA OFICINAS, O NEGOCIO, A 5 MIN DE BODEGA AURRERA DE STA. ROSA, OAXACA, A SOLO UNAS CUADRAS DEL CRUCERO DE BRENAMIELPropiedad en buen Estado de conservación, ideal para, oficinas y/o negocio, ubicada a unos metros de la carretera y a 5 min de Bodega Aurrera, en Santa Rosa Panzacola.Construida en 2 nivelesPLANTA BAJA:-Local comercial amplio con 1/2 baño. -Cochera para 2 vehículos-Sala/comedor (Sala 1 de juntas, amplia)-baño completo, dividido el área de regadera del Wc- 4 habitaciones s/closets PLANTA ALTA:- 3 Recamaras amplias- 1 área como para Cocineta, cuenta con las salidas de agua, drenajes y gas, o se cancela y funciona como estudio -Sala 2 de juntas, amplia-1 Baño completoCon posibilidad de ampliar a 2 habitaciones más, o terraza. También cuenta con:-Cisterna con bomba-Calentador -Escalera caracol p/azotea, losa plana.*Cercanía con Guarderías, Escuelas de nivel básico y superior públicas y privadas, centro comercial, bancos, deportivo y clínicas de salud.Mayores InformesPREVIA CITAPAULINA JIMENEZ,. EasyBroker ID: EB-JT6096",9 may 2023 - Publicado por PROISA INMOBILIARIA
CASA NUEVA  ZONA NORTE DE LA CIUDAD DE OAXACA,lamudi,Casa,"Microondas, Oaxaca, Oaxaca",3950000,4,3,220,150,"AMPLIA CASA NUEVA  DE 150 M2  ZONA NORTE DE ALTA PLUSVALÍA,  CON RÁPIDOS ACCESOS A COLONIA REFORMA, SAN FELPE DEL AGUA Y CENTRO DE LA CIUDAD, A SOLO 3 KM AL NORTE DEL BARRIO DE XOCHIMILCO CONSTRUCCIÓN TRADICIONALPLANTA BAJA:*COCHERA PARA 2 AUTOS * PORTÓN ELÉCTRICO*SALA*1  BAÑO COMPLETO*  ESTUDIO/RECAMARA *COMEDOR*COCINA EQUIPADA (cocina integral y barra de granito)*CISTERNA CON BOMBAPLANTA ALTA:* RECAMARA PRINCIPAL CON BAÑO COMPLETO ( vestidor, aire acondicionado)*1 BAÑO COMPLETO COMPARTIDO*2 RECAMARAS SECUNDARIAS CON CLOSETS AZOTEA:"" PERGOLA*TERRAZA CON ASADOR (vista a las montañas)NOTA: Pisos de loseta calidad InterceramicMAYORES INFORMES PREVIA VITACEL:,. EasyBroker ID: EB-MB6762",9 may 2023 - Publicado por PROISA INMOBILIARIA
Casa - Agencia Municipal San Martin Mexicapan,lamudi,Casa,"Moctezuma Sector Sur, Oaxaca, Oaxaca",4000000,,,,,"Casa Colonial con estilo Barroco, tan amplia que te permitirá disfrutar de cada espacio, un jardín que te ofrecerá tardesde tranquilidad, tus huéspedes o familiares disfrutarán de una agradable estancia gracias a sus amplias recamaras,podrás desplazarte en cada espacio con gran facilidad debido a su increíble construcción con divisiones espaciosas, unainigualable terraza para las tardes de reuniones donde tus invitados podrán admirar el bello paisaje deleitándose de unavista Panorámica, además tendrás un espacio donde te permitirá realizar un gym, una sala de juntas o una librería,construida de dos niveles idealmente pensada para la comodidad de recamarás en la planta baja, sala amplia,cocina en donde se construyo un horno con tabela decorada , cisterna de 10,000 litros y cochera para dos autos con dosaccesos sobre calles principales.A sus alrededores encontrarás escuelas, farmacias, comercios con gran afluencia vehícular.",29 mar 2023 - Publicado por Altana Realty Group
Casa - Mártires de Rio Blanco,lamudi,Casa,"Mártires de Tacubaya, Oaxaca, Oaxaca",2800000,5,5,244,,"Inmueble productivo en venta, en la colonia Mártires de Río Blanco, Oaxaca de Juárez, Oaxaca, compuesto de 1 casa y 2 departamentos que pueden generar gran rentabilidad al ubicarse cerca del Hospital del ISSSTE, del Hospital Civil, de la Facultad de Medicina y otras instituciones escolares, así como cerca de la fuente de las 8 Regiones. El inmueble consta de:* 1 departamento con su propio acceso , con la distribución de ( cochera para dos autos, sala, area para cocina, 1 recamará, 2 baños completos).*1 casa habitación con su propio acceso, construida en un solo nivel (portóneléctrico, espacio para dos autos, dos recamaras, dos baños completos, cocina integral, 1 estudio.)* 1 departamento con su propio acceso, (1 recamará, cocina integral, 1 baño completo, area de jardin y area de asador).La casa y un departamento cuentan con regadera eléctrica que regula la temperatura del agua. El inmueble se abastece de cisterna con capacidad de 8,000 litros acondicionada con bomba sumergible.",29 mar 2023 - Publicado por Altana Realty Group
Casa - América Sur,lamudi,Casa,"América Sur, Oaxaca, Oaxaca",5800000,8,4,540,,"En venta bonita casa con excelente ubicación, ideal para Inversionistas lista para rentar o habitar, es una propiedad que consta de tres departamentos y 1 local a pie de calle, cisterna de 10000 litros, 2 tinacos de 1100 c/u, cerca de Escuelas, Universidades, Hospitales, Farmacias, Polideportivo, a 5 minutos del centro y la Colonia Reforma.1.- Local con medio baño a pie de calleDepartamento 1.Sala, comedor, cocineta, 2 recamaras 1 baño, área de servicio con una vista hermosa de Oaxaca.Departamento 2:Sala, comedor, cocina integral, 3 Recamaras, 1 baño completo, Área de servicio.Departamento 3: Sala, Comedor, Cocina integral, 2 recamaras, 1 baño completo, área de servicio, Terraza y una hermosa vista.",29 mar 2023 - Publicado por Altana Realty Group
Casa - Trinidad de Viguera,lamudi,Casa,"La Magueyera, Oaxaca, Oaxaca",5670000,3,4,405,,"Hermosa casa diseñada para vivir en contacto con la naturaleza, cómoda y amplia para disfrutar cada rincón, con una extensión de terreno con una vista espectacular, libre de ruidos y contaminación ambiental; cuenta con puertas y ventanas de madera conocida como ""chenchen"", un pozo tipo artesanal, cisterna capacidad 10 mil litros ., cochera techada para 4 autos, portón eléctrico, con un bello jardín con flora propia de la zona, completamente bardeado, a sus alrededores cuenta con Escuelas de Nivel Escolar, Preescolar, Primaria y Secundaria, Centro de Salud, Agencia Municipal, canchas deportivas.",29 mar 2023 - Publicado por Altana Realty Group
